"","link","section","word","linenumber"
"90","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ziniti",200
"91","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","porto",208
"92","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","sicuro",209
"93","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","spettava",210
"94","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","spagna",212
"95","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","malta",215
"96","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","scrive",220
"97","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","salvini",221
"98","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","comandante",224
"99","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","nave",226
"100","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","deliberatamente",228
"101","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","rifiutato",229
"102","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","porto",231
"103","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","indicato",232
"104","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","madrid",235
"105","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","perdendo",236
"106","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","prezioso",238
"107","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","sbarcare",244
"108","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","immigrati",246
"109","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","sicilia",248
"110","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","marzo",254
"111","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ricavandone",256
"112","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","processo",258
"113","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","violenza",260
"114","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","privata",261
"115","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","favoreggiamento",263
"116","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","clandestina",265
"117","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","riferimento",267
"118","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","salvini",269
"119","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","corso",274
"120","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","tribunale",276
"121","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ragusa",278
"122","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","confronti",280
"123","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","comandante",282
"124","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","marc",283
"125","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ruig",284
"126","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","capomissione",287
"127","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","anabel",288
"128","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","monter",289
"129","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","salvini",290
"130","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","ricorda",291
"131","https://www.repubblica.it/politica/2020/02/17/news/open_arms_salvini_si_difende_non_toccava_all_italia_concedere_il_porto_il_comandante_ha_voluto_fare_rotta_verso_lampedus-248797985/","politica","primi",294
